Timestamp,Score_Left(-1),Score_Center(0),Score_Right(1),Action,Detected_Tokens
22:15:14.921,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.927,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.933,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.938,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.945,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.949,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.957,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.963,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.968,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.974,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.981,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.987,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.993,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:14.997,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.006,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.008,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.013,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.021,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.030,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.034,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.039,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.044,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.049,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.054,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.061,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.067,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.075,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.081,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.086,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.092,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.099,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.106,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.111,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.116,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.123,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.130,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.135,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.142,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.146,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.151,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.158,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.166,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.170,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.178,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.183,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.187,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.194,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.203,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.206,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.212,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.219,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.225,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.228,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.234,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.240,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.246,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.254,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.260,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.263,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.269,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.276,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.281,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.290,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.295,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.300,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.304,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.313,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.317,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.322,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.329,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.334,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.338,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.344,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.352,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.356,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.362,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.367,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.373,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.378,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.386,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.392,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.398,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.402,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.408,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.413,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.418,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.424,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.429,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.437,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.444,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.449,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.454,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.459,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
22:15:15.466,655.7,10.0,-423.2,-1.0,GREEN@L[-1] | GREEN@L[-1] | YELLOW@L[1]
